split,year,first_timestamp,last_timestamp,threshold_method,threshold,row_count,spike_count,non_spike_count,spike_rate,mean_price,median_price,price_std,p95_price,max_price
train,2020,2020-01-08 07:00:00,2020-12-31 23:00:00,iqr,170.76999999999998,8609,211,8398,0.024509234522011848,46.88513648507376,33.26,92.9468606748027,70.4,999.99
train,2021,2021-01-01 00:00:00,2021-12-31 23:00:00,iqr,170.76999999999998,8760,1011,7749,0.11541095890410959,101.74517922374429,57.305,138.64660653230874,407.5889999999998,999.99
train,2022,2022-01-01 00:00:00,2022-12-31 23:00:00,iqr,170.76999999999998,8760,1887,6873,0.21541095890410958,162.57274657534248,83.78,199.39525154834902,701.6664999999997,999.99
train,2023,2023-01-01 00:00:00,2023-12-30 23:00:00,iqr,170.76999999999998,8736,1764,6972,0.20192307692307693,133.99418154761904,57.335,183.9986066234007,596.1949999999999,999.99
validation,2024,2024-01-01 00:00:00,2024-12-30 23:00:00,iqr,170.76999999999998,8760,598,8162,0.0682648401826484,62.842029680365286,30.505000000000003,124.36259802791788,229.76299999999966,999.99
test,2025,2025-01-01 00:00:00,2025-12-31 23:00:00,iqr,170.76999999999998,8760,290,8470,0.033105022831050226,43.68638812785388,22.945,104.06868713501116,103.83849999999987,999.99
test,2026,2026-01-01 00:00:00,2026-06-30 23:00:00,iqr,170.76999999999998,4344,92,4252,0.02117863720073665,30.798901933701664,16.12,86.32723241923004,74.60399999999997,999.99
