model_name,task,horizon_hours,split,evaluation_rows,model_parameters,mae,rmse,accuracy,precision,recall,f1,pr_auc,notes,selection_metric,selection_rule,selection_reason
random_forest_classifier_tuned,classification,1,validation,8760,n_estimators=200; max_depth=None; min_samples_leaf=1; cv_splits=3; cv_accuracy=0.850314; cv_precision=0.565694; cv_recall=0.667035; cv_f1=0.602630; class_weight=balanced; random_state=42; n_jobs=-1,,,0.9505707762557076,0.6694045174537988,0.5451505016722408,0.6009216589861751,0.6448371239609083,Random Forest parameters selected by highest TimeSeriesSplit F1 on the chronological train split.,f1,highest_validation_f1_within_horizon,Selected because it has the highest validation F1 among classification models for the 1h horizon.
random_forest_classifier_tuned,classification,3,validation,8760,n_estimators=200; max_depth=None; min_samples_leaf=5; cv_splits=3; cv_accuracy=0.713018; cv_precision=0.372196; cv_recall=0.732393; cv_f1=0.473284; class_weight=balanced; random_state=42; n_jobs=-1,,,0.9317351598173516,0.5,0.5050167224080268,0.502495840266223,0.4919008982259655,Random Forest parameters selected by highest TimeSeriesSplit F1 on the chronological train split.,f1,highest_validation_f1_within_horizon,Selected because it has the highest validation F1 among classification models for the 3h horizon.
random_forest_classifier_tuned,classification,6,validation,8760,n_estimators=100; max_depth=None; min_samples_leaf=5; cv_splits=3; cv_accuracy=0.737150; cv_precision=0.360151; cv_recall=0.606215; cv_f1=0.441766; class_weight=balanced; random_state=42; n_jobs=-1,,,0.9230593607305936,0.4269230769230769,0.3712374581939799,0.3971377459749552,0.3582072104591023,Random Forest parameters selected by highest TimeSeriesSplit F1 on the chronological train split.,f1,highest_validation_f1_within_horizon,Selected because it has the highest validation F1 among classification models for the 6h horizon.
random_forest_classifier_tuned,classification,12,validation,8760,n_estimators=100; max_depth=10; min_samples_leaf=5; cv_splits=3; cv_accuracy=0.753365; cv_precision=0.361027; cv_recall=0.487805; cv_f1=0.408726; class_weight=balanced; random_state=42; n_jobs=-1,,,0.8968036529680365,0.3147699757869249,0.4347826086956521,0.3651685393258427,0.2860415274633434,Random Forest parameters selected by highest TimeSeriesSplit F1 on the chronological train split.,f1,highest_validation_f1_within_horizon,Selected because it has the highest validation F1 among classification models for the 12h horizon.
random_forest_classifier_tuned,classification,24,validation,8760,n_estimators=200; max_depth=None; min_samples_leaf=5; cv_splits=3; cv_accuracy=0.748776; cv_precision=0.343637; cv_recall=0.466945; cv_f1=0.391205; class_weight=balanced; random_state=42; n_jobs=-1,,,0.916095890410959,0.37243947858473,0.334448160535117,0.3524229074889868,0.286273823540847,Random Forest parameters selected by highest TimeSeriesSplit F1 on the chronological train split.,f1,highest_validation_f1_within_horizon,Selected because it has the highest validation F1 among classification models for the 24h horizon.
