window_hours,row_count,recommended_rate,acceptable_rate,avoid_rate,label_change_rate,recommended_threshold_mean,recommended_threshold_std,avoid_threshold_mean,avoid_threshold_std
336,22346,0.2724,0.6301,0.0975,0.1504,15.5524,10.3295,85.7066,90.2709
720,22346,0.2678,0.6365,0.0957,0.1474,14.9468,8.6729,79.7867,39.6157
