horizon_hours,validation_rows,positive_rows,spike_prevalence,random_pr_auc_baseline,model_pr_auc,pr_auc_absolute_gain,pr_auc_lift,all_positive_f1_baseline,model_f1,f1_absolute_gain,beats_pr_auc_baseline,beats_f1_baseline
1,8760,598,0.0682648401826484,0.0682648401826484,0.6427395353818404,0.5744746951991919,9.415381822650371,0.1278050865569566,0.5967741935483871,0.4689691069914305,True,True
3,8760,598,0.0682648401826484,0.0682648401826484,0.481359160435215,0.4130943202525666,7.051348236475724,0.1278050865569566,0.4976958525345622,0.3698907659776056,True,True
6,8760,598,0.0682648401826484,0.0682648401826484,0.3706722230924696,0.3024073829098212,5.429914171053568,0.1278050865569566,0.4351145038167939,0.3073094172598373,True,True
12,8760,598,0.0682648401826484,0.0682648401826484,0.2696297960832999,0.2013649559006515,3.949760892457704,0.1278050865569566,0.324455205811138,0.1966501192541814,True,True
24,8760,598,0.0682648401826484,0.0682648401826484,0.2941820532250261,0.22591721304237772,4.30942271948366,0.1278050865569566,0.3579697239536955,0.23016463739673887,True,True
