horizon_hours,winner_model,runner_up_model,winner_overall_f1,runner_up_overall_f1,overall_f1_margin,month_period_count,winner_months_better,runner_up_months_better,month_ties,winner_month_f1_min,winner_month_f1_max,winner_month_f1_std,runner_up_month_f1_std,quarter_period_count,winner_quarters_better,runner_up_quarters_better,quarter_ties,winner_quarter_f1_min,winner_quarter_f1_max,winner_quarter_f1_std,runner_up_quarter_f1_std
1,hist_gradient_boosting_classifier,random_forest_classifier_tuned,0.6277495769881557,0.6228143213988343,0.004935255589321397,12,5,5,2,0.0,0.7872340425531915,0.2758221724939368,0.2642602875842438,4,2,2,0,0.40310077519379844,0.7025089605734767,0.1255563343662728,0.1072745845957056
3,hist_gradient_boosting_classifier_tuned,hist_gradient_boosting_classifier,0.5162907268170426,0.5092307692307693,0.007059957586273313,12,6,3,3,0.0,0.6666666666666666,0.24459838685883842,0.2405080229855965,4,2,2,0,0.3247863247863248,0.6027397260273972,0.11066946252560679,0.10789792590715896
6,hist_gradient_boosting_classifier_tuned,gradient_boosting_classifier_tuned,0.4523076923076923,0.4356589147286822,0.01664877757901012,12,7,1,4,0.0,0.6146341463414634,0.22657238542849822,0.22090390355237707,4,3,1,0,0.2595419847328244,0.5194805194805194,0.11403231596465806,0.12922319629763596
12,hist_gradient_boosting_classifier_tuned,hist_gradient_boosting_classifier,0.38485804416403785,0.38080495356037153,0.004053090603666321,12,3,5,4,0.0,0.5742574257425742,0.21538306548987668,0.21730211512533504,4,2,2,0,0.1,0.4823943661971831,0.159345162832596,0.14564776100944746
24,gradient_boosting_classifier_tuned,extra_trees_classifier_tuned,0.36923076923076925,0.36292935839274143,0.006301410838027821,12,3,5,4,0.0,0.5871559633027523,0.20589720345216422,0.20594740563652647,4,2,2,0,0.07633587786259542,0.4966442953020134,0.17029297561450002,0.16018269399416676
