horizon_hours,candidate_rank,model_name,decision_threshold,period_type,period,rows,actual_spikes,predicted_spikes,accuracy,precision,recall,f1,pr_auc
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-01,744,153,230,0.7889784946236559,0.49130434782608695,0.738562091503268,0.5900783289817232,0.6225419482972754
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-02,696,70,94,0.867816091954023,0.3829787234042553,0.5142857142857142,0.43902439024390244,0.4053897833783544
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-03,744,41,53,0.9247311827956989,0.3584905660377358,0.4634146341463415,0.40425531914893614,0.35052078360757577
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-04,720,48,54,0.8972222222222223,0.25925925925925924,0.2916666666666667,0.27450980392156865,0.28017123616127454
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-05,744,16,0,0.978494623655914,0.0,0.0,0.0,0.025284925509926347
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-06,720,11,0,0.9847222222222223,0.0,0.0,0.0,0.02164424916540989
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-07,744,92,129,0.8723118279569892,0.4883720930232558,0.6847826086956522,0.5701357466063348,0.5685948042927486
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-08,744,14,0,0.9811827956989247,0.0,0.0,0.0,0.029732070178344668
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-09,720,35,4,0.9513888888888888,0.5,0.05714285714285714,0.10256410256410256,0.1951374209812866
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-10,744,47,44,0.8911290322580645,0.11363636363636363,0.10638297872340426,0.10989010989010989,0.09250438297760905
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-11,720,68,84,0.8694444444444445,0.34523809523809523,0.4264705882352941,0.3815789473684211,0.3001856550308486
6,2,gradient_boosting_classifier_tuned,0.6,month,2024-12,720,3,0,0.9958333333333333,0.0,0.0,0.0,0.014740896358543419
6,2,gradient_boosting_classifier_tuned,0.6,quarter,2024Q1,2184,264,377,0.8603479853479854,0.44562334217506633,0.6363636363636364,0.5241809672386896,0.5262088608480218
6,2,gradient_boosting_classifier_tuned,0.6,quarter,2024Q2,2184,75,54,0.9537545787545788,0.25925925925925924,0.18666666666666668,0.21705426356589147,0.19080313349221129
6,2,gradient_boosting_classifier_tuned,0.6,quarter,2024Q3,2208,141,133,0.9347826086956522,0.48872180451127817,0.46099290780141844,0.4744525547445255,0.43045260967810905
6,2,gradient_boosting_classifier_tuned,0.6,quarter,2024Q4,2184,118,128,0.9184981684981685,0.265625,0.288135593220339,0.2764227642276423,0.19025887129025426
12,1,hist_gradient_boosting_classifier_tuned,0.6,overall,overall,8760,598,670,0.910958904109589,0.3641791044776119,0.4080267558528428,0.38485804416403785,0.3190449170554869
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-01,744,153,150,0.8266129032258065,0.58,0.5686274509803921,0.5742574257425742,0.5552442072162465
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-02,696,70,104,0.8419540229885057,0.3076923076923077,0.45714285714285713,0.367816091954023,0.3351947064859437
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-03,744,41,50,0.9260752688172043,0.36,0.43902439024390244,0.3956043956043956,0.41685129037516305
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-04,720,48,65,0.8625,0.1076923076923077,0.14583333333333334,0.12389380530973451,0.11327754403419815
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-05,744,16,0,0.978494623655914,0.0,0.0,0.0,0.025233206522406425
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-06,720,11,0,0.9847222222222223,0.0,0.0,0.0,0.04469870109549706
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-07,744,92,130,0.8709677419354839,0.4846153846153846,0.6847826086956522,0.5675675675675675,0.5839158619875928
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-08,744,14,0,0.9811827956989247,0.0,0.0,0.0,0.020630915346164375
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-09,720,35,39,0.9194444444444444,0.20512820512820512,0.22857142857142856,0.21621621621621623,0.20079021248310008
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-10,744,47,53,0.8709677419354839,0.03773584905660377,0.0425531914893617,0.04,0.05464575898551547
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-11,720,68,78,0.8722222222222222,0.34615384615384615,0.39705882352941174,0.3698630136986301,0.28300805184049377
12,1,hist_gradient_boosting_classifier_tuned,0.6,month,2024-12,720,3,1,0.9944444444444445,0.0,0.0,0.0,0.028375350140056023
12,1,hist_gradient_boosting_classifier_tuned,0.6,quarter,2024Q1,2184,264,304,0.8653846153846154,0.4506578947368421,0.5189393939393939,0.4823943661971831,0.44537762633288874
12,1,hist_gradient_boosting_classifier_tuned,0.6,quarter,2024Q2,2184,75,65,0.9423076923076923,0.1076923076923077,0.09333333333333334,0.1,0.0856183953373057
12,1,hist_gradient_boosting_classifier_tuned,0.6,quarter,2024Q3,2208,141,169,0.9239130434782609,0.42011834319526625,0.5035460992907801,0.45806451612903226,0.4381616029715119
12,1,hist_gradient_boosting_classifier_tuned,0.6,quarter,2024Q4,2184,118,132,0.9120879120879121,0.2196969696969697,0.2457627118644068,0.232,0.1374445726284977
12,2,hist_gradient_boosting_classifier,0.55,overall,overall,8760,598,694,0.908675799086758,0.35446685878962536,0.411371237458194,0.38080495356037153,0.2972393819106574
12,2,hist_gradient_boosting_classifier,0.55,month,2024-01,744,153,162,0.7997311827956989,0.5123456790123457,0.5424836601307189,0.526984126984127,0.48647611259321333
12,2,hist_gradient_boosting_classifier,0.55,month,2024-02,696,70,120,0.8275862068965517,0.2916666666666667,0.5,0.3684210526315789,0.32426129094100486
12,2,hist_gradient_boosting_classifier,0.55,month,2024-03,744,41,56,0.9314516129032258,0.4107142857142857,0.5609756097560976,0.4742268041237113,0.4271466832553317
